model,run,persona_type,persona_id,subgroup,accuracy,f1_weighted,f1_macro,mean_error,mean_absolute_error,hate_over_flagging_rate,offensive_over_flagging_rate,offensive_to_hate_rate,n_samples
gpt_oss_120b,r1,baseline,baseline,gender,0.4647887323943662,0.4390146761154988,0.4608865648469609,0.5704225352112676,0.6408450704225352,0.23809523809523808,0.49206349206349204,0.5208333333333334,142
gpt_oss_120b,r1,persona,15,gender,0.49295774647887325,0.47535804049888564,0.48681257014590357,0.5915492957746479,0.647887323943662,0.31746031746031744,0.3492063492063492,0.5416666666666666,142
gpt_oss_120b,r1,persona,35,gender,0.4507042253521127,0.4240853115428598,0.44023819238017525,0.6619718309859155,0.7183098591549296,0.38095238095238093,0.3492063492063492,0.5833333333333334,142
gpt_oss_120b,r1,persona,65,gender,0.44366197183098594,0.4107610069290753,0.43362661249316203,0.647887323943662,0.6901408450704225,0.30158730158730157,0.4603174603174603,0.5833333333333334,142
gpt_oss_120b,r1,persona,no_formal_education,gender,0.528169014084507,0.5101654653080655,0.525262224498312,0.5492957746478874,0.5915492957746479,0.2698412698412698,0.3968253968253968,0.4583333333333333,142
gpt_oss_120b,r1,persona,high_school_education,gender,0.45774647887323944,0.4331841436764553,0.4496757065564405,0.6267605633802817,0.6690140845070423,0.2857142857142857,0.42857142857142855,0.6041666666666666,142
gpt_oss_120b,r1,persona,higher_education,gender,0.4788732394366197,0.4605730577970998,0.47100070472163497,0.6056338028169014,0.6619718309859155,0.31746031746031744,0.3492063492063492,0.5833333333333334,142
gpt_oss_120b,r1,persona,male,gender,0.43661971830985913,0.4056608110515397,0.4245497464591712,0.6619718309859155,0.7323943661971831,0.38095238095238093,0.36507936507936506,0.5833333333333334,142
gpt_oss_120b,r1,persona,female,gender,0.4859154929577465,0.47051271688612795,0.47783187323934584,0.6126760563380281,0.6690140845070423,0.3492063492063492,0.30158730158730157,0.5833333333333334,142
gpt_oss_120b,r1,persona,not_lonely,gender,0.4859154929577465,0.4645395693502343,0.47921136556688393,0.6126760563380281,0.6690140845070423,0.3492063492063492,0.3492063492063492,0.5208333333333334,142
gpt_oss_120b,r1,persona,somewhat_lonely,gender,0.47183098591549294,0.4466730877412574,0.46475767064241374,0.6056338028169014,0.6619718309859155,0.30158730158730157,0.4126984126984127,0.5416666666666666,142
gpt_oss_120b,r1,persona,left-wing,gender,0.47183098591549294,0.45570782980768476,0.45978515664811753,0.6267605633802817,0.6830985915492958,0.3492063492063492,0.2857142857142857,0.6458333333333334,142
gpt_oss_120b,r1,persona,right-wing,gender,0.5,0.48287633174691375,0.49429515278571884,0.5633802816901409,0.6338028169014085,0.30158730158730157,0.3492063492063492,0.5208333333333334,142
gpt_oss_120b,r1,persona,centrist,gender,0.4647887323943662,0.44362401960737463,0.45488793468322203,0.6267605633802817,0.6971830985915493,0.36507936507936506,0.31746031746031744,0.5833333333333334,142
gpt_oss_120b,r1,persona,white,gender,0.4225352112676056,0.3914778365826791,0.41413026525739927,0.6267605633802817,0.6971830985915493,0.2698412698412698,0.49206349206349204,0.6041666666666666,142
gpt_oss_120b,r1,persona,black,gender,0.47183098591549294,0.4457746478873239,0.4682539682539682,0.5633802816901409,0.6338028169014085,0.23809523809523808,0.49206349206349204,0.5,142
gpt_oss_120b,r1,persona,asian,gender,0.4507042253521127,0.4254145911195798,0.4441672560901786,0.6056338028169014,0.676056338028169,0.2857142857142857,0.4444444444444444,0.5625,142
gpt_oss_120b,r1,persona,christian,gender,0.4788732394366197,0.45967360976530336,0.4706723547437361,0.5985915492957746,0.6690140845070423,0.3333333333333333,0.3333333333333333,0.5625,142
gpt_oss_120b,r1,persona,muslim,gender,0.4507042253521127,0.42146622890109986,0.442997227294245,0.5985915492957746,0.6690140845070423,0.2698412698412698,0.4603174603174603,0.5625,142
gpt_oss_120b,r1,persona,jewish,gender,0.528169014084507,0.5159044693237006,0.5237981126643826,0.5211267605633803,0.5915492957746479,0.2698412698412698,0.3333333333333333,0.5,142
gpt_oss_120b,r1,persona,atheist,gender,0.4859154929577465,0.47138093541313336,0.4787522746764432,0.6408450704225352,0.6830985915492958,0.38095238095238093,0.2857142857142857,0.5833333333333334,142
gpt_oss_120b,r1,persona,hindu,gender,0.45774647887323944,0.4332501030278053,0.45202237521514627,0.6056338028169014,0.6619718309859155,0.2698412698412698,0.4603174603174603,0.5625,142
gpt_oss_120b,r1,baseline,baseline,race_ethnicity,0.6257309941520468,0.580768959090855,0.4812931771534981,0.4152046783625731,0.5321637426900585,0.47058823529411764,0.29411764705882354,0.6666666666666666,171
gpt_oss_120b,r1,persona,15,race_ethnicity,0.6432748538011696,0.6011682968483154,0.5038680664006016,0.4327485380116959,0.5146198830409356,0.5098039215686274,0.19607843137254902,0.7037037037037037,171
gpt_oss_120b,r1,persona,35,race_ethnicity,0.6374269005847953,0.5861376382315739,0.4929410628880373,0.47368421052631576,0.5321637426900585,0.5686274509803921,0.19607843137254902,0.6666666666666666,171
gpt_oss_120b,r1,persona,65,race_ethnicity,0.631578947368421,0.5831937791059959,0.4872391071245834,0.4502923976608187,0.5321637426900585,0.5294117647058824,0.23529411764705882,0.6666666666666666,171
gpt_oss_120b,r1,persona,no_formal_education,race_ethnicity,0.6432748538011696,0.602140896877739,0.5066885066885067,0.4269005847953216,0.49707602339181284,0.47058823529411764,0.27450980392156865,0.6296296296296297,171
gpt_oss_120b,r1,persona,high_school_education,race_ethnicity,0.6081871345029239,0.5720020552783143,0.4680069157605328,0.4269005847953216,0.543859649122807,0.5098039215686274,0.21568627450980393,0.7407407407407407,171
gpt_oss_120b,r1,persona,higher_education,race_ethnicity,0.5964912280701754,0.5443809633733457,0.4327119883040936,0.4678362573099415,0.5730994152046783,0.5490196078431373,0.23529411764705882,0.7777777777777778,171
gpt_oss_120b,r1,persona,male,race_ethnicity,0.6257309941520468,0.5760029011872277,0.47485372190218006,0.45614035087719296,0.5380116959064327,0.5294117647058824,0.23529411764705882,0.7037037037037037,171
gpt_oss_120b,r1,persona,female,race_ethnicity,0.6198830409356725,0.571042582284801,0.46969462346216034,0.4619883040935672,0.5555555555555556,0.5686274509803921,0.17647058823529413,0.7407407407407407,171
gpt_oss_120b,r1,persona,not_lonely,race_ethnicity,0.6432748538011696,0.5957201441759535,0.501911250873515,0.4502923976608187,0.5087719298245614,0.5098039215686274,0.2549019607843137,0.6296296296296297,171
gpt_oss_120b,r1,persona,somewhat_lonely,race_ethnicity,0.6198830409356725,0.5749719320926752,0.47939021762551176,0.42105263157894735,0.5380116959064327,0.49019607843137253,0.29411764705882354,0.6296296296296297,171
gpt_oss_120b,r1,persona,left-wing,race_ethnicity,0.6432748538011696,0.5972657331942554,0.4999094912850372,0.4678362573099415,0.5146198830409356,0.5294117647058824,0.19607843137254902,0.7407407407407407,171
gpt_oss_120b,r1,persona,right-wing,race_ethnicity,0.6257309941520468,0.5898634146195335,0.5038561142889666,0.40350877192982454,0.543859649122807,0.5490196078431373,0.17647058823529413,0.5925925925925926,171
gpt_oss_120b,r1,persona,centrist,race_ethnicity,0.631578947368421,0.5906576432892222,0.4824460824460825,0.4269005847953216,0.49707602339181284,0.43137254901960786,0.3137254901960784,0.7037037037037037,171
gpt_oss_120b,r1,persona,white,race_ethnicity,0.6198830409356725,0.569394023639087,0.46403945151649273,0.4619883040935672,0.5321637426900585,0.5098039215686274,0.27450980392156865,0.7037037037037037,171
gpt_oss_120b,r1,persona,black,race_ethnicity,0.5964912280701754,0.558327938436465,0.43844355596338297,0.40350877192982454,0.5321637426900585,0.39215686274509803,0.37254901960784315,0.7777777777777778,171
gpt_oss_120b,r1,persona,asian,race_ethnicity,0.6198830409356725,0.562616982773411,0.457557291922617,0.47368421052631576,0.543859649122807,0.5490196078431373,0.2549019607843137,0.6666666666666666,171
gpt_oss_120b,r1,persona,christian,race_ethnicity,0.6257309941520468,0.5734736273081579,0.4766892186756537,0.4619883040935672,0.5555555555555556,0.5686274509803921,0.19607843137254902,0.7037037037037037,171
gpt_oss_120b,r1,persona,muslim,race_ethnicity,0.6023391812865497,0.5593402309191784,0.4394301994301994,0.4444444444444444,0.5380116959064327,0.47058823529411764,0.27450980392156865,0.8148148148148148,171
gpt_oss_120b,r1,persona,jewish,race_ethnicity,0.6257309941520468,0.5819904316143071,0.47248669018907985,0.4269005847953216,0.5321637426900585,0.5098039215686274,0.19607843137254902,0.7407407407407407,171
gpt_oss_120b,r1,persona,atheist,race_ethnicity,0.6140350877192983,0.5607036915961401,0.46381412468368993,0.4853801169590643,0.5672514619883041,0.6078431372549019,0.17647058823529413,0.7037037037037037,171
gpt_oss_120b,r1,persona,hindu,race_ethnicity,0.6198830409356725,0.5696490768325426,0.46337438853948293,0.4502923976608187,0.5321637426900585,0.49019607843137253,0.29411764705882354,0.7037037037037037,171
gpt_oss_120b,r1,baseline,baseline,religion,0.6831683168316832,0.6688806380638064,0.5226851851851851,0.297029702970297,0.4752475247524752,0.34285714285714286,0.22857142857142856,0.7777777777777778,101
gpt_oss_120b,r1,persona,15,religion,0.6831683168316832,0.6778807196576435,0.524882779198636,0.32673267326732675,0.44554455445544555,0.34285714285714286,0.22857142857142856,0.7777777777777778,101
gpt_oss_120b,r1,persona,35,religion,0.6732673267326733,0.665698441937217,0.5077906976744185,0.36633663366336633,0.44554455445544555,0.34285714285714286,0.2857142857142857,0.7777777777777778,101
gpt_oss_120b,r1,persona,65,religion,0.6435643564356436,0.6258707659206487,0.45819937968247676,0.37623762376237624,0.5148514851485149,0.42857142857142855,0.22857142857142856,0.7777777777777778,101
gpt_oss_120b,r1,persona,no_formal_education,religion,0.7029702970297029,0.6939599658918102,0.5425220774057984,0.32673267326732675,0.42574257425742573,0.34285714285714286,0.2,0.7777777777777778,101
gpt_oss_120b,r1,persona,high_school_education,religion,0.6435643564356436,0.6344268731698779,0.4673947170841581,0.36633663366336633,0.504950495049505,0.42857142857142855,0.2,0.7777777777777778,101
gpt_oss_120b,r1,persona,higher_education,religion,0.7029702970297029,0.6951120649581412,0.549236994783287,0.31683168316831684,0.43564356435643564,0.37142857142857144,0.14285714285714285,0.7777777777777778,101
gpt_oss_120b,r1,persona,male,religion,0.6831683168316832,0.6750305673522209,0.5254183421078086,0.33663366336633666,0.45544554455445546,0.37142857142857144,0.2,0.7777777777777778,101
gpt_oss_120b,r1,persona,female,religion,0.6831683168316832,0.6703870387038703,0.5292929292929293,0.37623762376237624,0.4752475247524752,0.45714285714285713,0.11428571428571428,0.7777777777777778,101
gpt_oss_120b,r1,persona,not_lonely,religion,0.6831683168316832,0.666419118692055,0.4988429183475622,0.36633663366336633,0.46534653465346537,0.42857142857142855,0.14285714285714285,0.7777777777777778,101
gpt_oss_120b,r1,persona,somewhat_lonely,religion,0.6633663366336634,0.6565425244570493,0.4828253765274226,0.32673267326732675,0.46534653465346537,0.34285714285714286,0.2571428571428571,0.7777777777777778,101
