model,run,group,persona,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Age,15,0.7063970663290797,0.6834170854271356,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Age,35,0.6764664557576487,0.6482412060301508,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Age,65,0.6870290919591472,0.6482412060301508,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Education,nfe,0.6750331141322481,0.628140703517588,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Education,hs,0.6969119526317284,0.6532663316582915,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Education,he,0.6968318485668664,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Gender,m,0.695433120397105,0.6532663316582915,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Gender,f,0.6943301731915856,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Loneliness,nl,0.6801325933169362,0.6331658291457286,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Loneliness,sl,0.703748663293291,0.6733668341708543,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Political,l,0.7102210998495834,0.678391959798995,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Political,r,0.7051351702439965,0.6683417085427136,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Political,c,0.684221382660949,0.628140703517588,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Race,w,0.6984466212364862,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Race,b,0.6825415842572568,0.6733668341708543,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Race,a,0.6563027588892211,0.6030150753768844,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Religion,chr,0.6971280302689672,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Religion,mus,0.6891777042200218,0.628140703517588,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Religion,jew,0.6926787363456003,0.6381909547738693,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Religion,ath,0.7048257219153905,0.6683417085427136,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r1,Religion,hin,0.6928622992584442,0.6432160804020101,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Age,15,0.6740639557332055,0.6180904522613065,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Age,35,0.6546516962461104,0.6231155778894473,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Age,65,0.6895325436357088,0.6532663316582915,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Education,nfe,0.6777265101012324,0.6733668341708543,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Education,hs,0.6858708080109208,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Education,he,0.699836879796494,0.6733668341708543,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Gender,m,0.6915519536462488,0.6482412060301508,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Gender,f,0.6886823259775319,0.6482412060301508,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Loneliness,nl,0.6972174245417401,0.6733668341708543,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Loneliness,sl,0.6977702981141228,0.6432160804020101,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Political,l,0.6878113762618735,0.6331658291457286,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Political,r,0.7082911475664717,0.6934673366834171,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Political,c,0.7032612445489529,0.678391959798995,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Race,w,0.7128117424421602,0.678391959798995,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Race,b,0.6880563065897637,0.6381909547738693,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Race,a,0.6792531227659659,0.6331658291457286,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Religion,chr,0.7029968697664766,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Religion,mus,0.6988237547811738,0.6683417085427136,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Religion,jew,0.6827842223792566,0.6432160804020101,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Religion,ath,0.6857628216728674,0.6180904522613065,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r2,Religion,hin,0.7073062701088924,0.6683417085427136,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Age,15,0.7101197437550257,0.6733668341708543,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Age,35,0.685117401168633,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Age,65,0.7075721312877685,0.6582914572864321,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Education,nfe,0.6937172034127403,0.6331658291457286,199,0,199
